variant_id,professor_id,variant_name,source,match_confidence
267,364,Brad Bundy,courses.json,0.9
268,1625,David Lignell,courses.json,0.9
269,1776,Dean Wheeler,courses.json,0.9
270,752,Scott Burt,courses.json,0.9
271,419,Moana Hopoate-Sitake,courses.json,0.9
272,354,Betsy Olsen,courses.json,0.9
273,85,Matthew Linford,courses.json,0.9
274,5293,Alex Larson,courses.json,0.9
275,819,Brian Woodfield,courses.json,0.9
276,945,Matthew Asplund,courses.json,0.9
277,546,Austin Gillespie,courses.json,0.9
278,536,Jeff Macedone,courses.json,0.9
279,451,Kenny Lee,courses.json,0.9
280,634,Jessie Webb,courses.json,0.9
281,896,Roger Harrison,courses.json,0.9
282,499,Kara Stowers,courses.json,0.9
283,187,Wally Paxton,courses.json,0.9
284,1666,Matthew Allen,courses.json,0.9
285,751,Todd Bronson,courses.json,0.9
286,788,Paul Savage,courses.json,0.9
287,302,Jaron Hansen,courses.json,0.9
288,2475,Duane Merrell,courses.json,0.9
289,487,Matt Peterson,courses.json,0.9
290,1197,Dan Ess,courses.json,0.9
291,753,David Michaelis,courses.json,0.9
292,1550,Jennifer Nielson,courses.json,0.9
293,254,Josh Price,courses.json,0.9
294,1803,John Price,courses.json,0.9
295,240,Brandon Gassaway,courses.json,0.9
296,173,Ken Christensen,courses.json,0.9
297,2029,James Patterson,courses.json,0.9
298,757,Jeremy Johnson,courses.json,0.9
299,570,Chris Tracy,courses.json,0.9
300,408,Pam Van Ry,courses.json,0.9
301,306,David Hansen,courses.json,0.9
302,1380,Merritt Andrus,courses.json,0.9
303,424,Richard Watt,courses.json,0.9
304,4025,Anna Kennington,courses.json,0.9
305,1463,David Dearden,courses.json,0.9
306,184,Eric Sevy,courses.json,0.9
307,728,James Moody,courses.json,0.9
308,138,Ryan Kelly,courses.json,0.9
309,1123,Steven Castle,courses.json,0.9
310,1211,Barry Willardson,courses.json,0.9
311,929,Debra Wells,courses.json,0.9
312,1068,Matthew Christensen,courses.json,0.9
313,527,Julie Lefgren,courses.json,0.9
314,1075,Lin Guo,courses.json,0.9
315,1732,Jun Duan,courses.json,0.9
316,2807,Yihsuan Wood,courses.json,0.9
317,1076,Yina Patterson,courses.json,0.9
318,710,ShuPei Wang,courses.json,0.9
319,1121,Rachel Yu Liu,courses.json,0.9
320,605,Steve Riep,courses.json,0.9
321,1759,David Honey,courses.json,0.9
322,1975,Ellen Knell,courses.json,0.9
323,19,Mike Pope,courses.json,0.9
324,701,Stephen Bay,courses.json,0.9
325,2212,Cecilia Peek,courses.json,0.9
326,117,Christopher Haney,courses.json,0.9
327,1108,Charles Oughton,courses.json,0.9
328,1057,Thomas Wayment,courses.json,0.9
329,1861,Kerry Soper,courses.json,0.9
330,1564,Roger Macfarlane,courses.json,0.9
